seed,decision_index,event,ready_total,considered_count,ready_not_evaluated,active_occupied_slot,stranded,stranded_not_considered,waiting_resolves_never_considered,excluded_then_chosen_within_two,has_resolve_only_candidate,pose_x_m,pose_y_m,current_channel,active_channel,mode,chosen_cost_s,candidate_costs,required_lower_size,effective_resolve_steps,chosen_sequence
20260911,22,bootstrap_complete,6,1,5,False,[],[],"['Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch9', 'Resolve ch4']",[],False,0.0,0.0,20,,advance_feasible,239.99999999999994,Advance V1=239.99999999999994; Resolve ch14 -> Advance V1=245.99999999999994,0,0,Advance V1
20260911,24,select_active,6,1,5,False,[],[],"['Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch9', 'Resolve ch4']",[],False,0.0,0.0,20,,advance_feasible,239.99999999999994,Advance V1=239.99999999999994; Resolve ch14 -> Advance V1=245.99999999999994,0,0,Advance V1
20260911,28,opportunistic_observation,6,1,5,False,[],[],"['Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch4', 'Resolve ch9']",[],False,771.6732703799787,136.0668178595286,14,,advance_feasible,83.28448511505312,Advance V1=83.28448511505312; Resolve ch14 -> Advance V1=341.7155148849468,0,0,Advance V1
20260911,45,active_completed,11,3,8,False,"[8, 11, 14]",[],"['Resolve ch15', 'Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch4', 'Resolve ch9', 'Resolve ch2']",[],True,1181.7693036146495,208.3778132003164,20,,advance_blocked,6.0,Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14=6.0; Resolve ch11=66.92518592317639; Resolve ch8=36.000000000000014; Resolve ch14 -> Resolve ch11=72.92518592317639; Resolve ch14 -> Resolve ch8=42.000000000000014; Resolve ch11 -> Resolve ch14=133.85037184635277; Resolve ch11 -> Resolve ch8=154.6755793258913; Resolve ch8 -> Resolve ch14=72.00000000000003; Resolve ch8 -> Resolve ch11=123.75039340271495,3,1,Resolve ch14
20260911,47,select_active,11,3,8,False,"[8, 11, 14]",[],"['Resolve ch15', 'Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch4', 'Resolve ch9', 'Resolve ch2']",[],True,1181.7693036146495,208.3778132003164,20,,advance_blocked,6.0,Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14=6.0; Resolve ch11=66.92518592317639; Resolve ch8=36.000000000000014; Resolve ch14 -> Resolve ch11=72.92518592317639; Resolve ch14 -> Resolve ch8=42.000000000000014; Resolve ch11 -> Resolve ch14=133.85037184635277; Resolve ch11 -> Resolve ch8=154.6755793258913; Resolve ch8 -> Resolve ch14=72.00000000000003; Resolve ch8 -> Resolve ch11=123.75039340271495,3,1,Resolve ch14
20260911,51,belief_updated,11,3,8,True,"[8, 11, 14]",[],"['Resolve ch15', 'Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch4', 'Resolve ch9', 'Resolve ch2']",[],True,1181.7693036146495,208.3778132003164,14,14,advance_blocked,36.000000000000014,Resolve ch11 -> Advance V2=infeasible; Resolve ch14 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch11=66.92518592317639; Resolve ch14=73.0739380833912; Resolve ch8=36.000000000000014; Resolve ch11 -> Resolve ch14=172.05634990322807; Resolve ch11 -> Resolve ch8=154.6755793258913; Resolve ch14 -> Resolve ch11=179.2051020634429; Resolve ch14 -> Resolve ch8=170.51239899858837; Resolve ch8 -> Resolve ch11=123.75039340271495; Resolve ch8 -> Resolve ch14=132.43846091519717,3,1,Resolve ch8
20260911,54,opportunistic_observation,11,3,8,True,"[8, 11, 14]",[],"['Resolve ch15', 'Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch2', 'Resolve ch4', 'Resolve ch9']",[],True,1145.0,-129.99999999999997,11,14,advance_blocked,5.000000000000005,Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch14 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch14=5.000000000000005; Resolve ch11=144.14920050075744; Resolve ch8=97.43846091519714; Resolve ch14 -> Resolve ch11=150.14920050075744; Resolve ch14 -> Resolve ch8=102.43846091519715; Resolve ch11 -> Resolve ch14=288.2984010015149; Resolve ch11 -> Resolve ch8=275.9895323784406; Resolve ch8 -> Resolve ch14=193.87692183039428; Resolve ch8 -> Resolve ch11=229.27879279288027,3,1,Resolve ch14
20260911,57,belief_updated,10,3,7,False,"[8, 11]",[],"['Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch2', 'Resolve ch4', 'Resolve ch9']",[],False,1145.0,-130.0,11,14,advance_feasible,485.9895323784405,Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch15 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=485.9895323784405; Resolve ch11 -> Resolve ch15 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=540.8330087449368; Resolve ch8 -> Resolve ch15 -> Advance V2=infeasible; Resolve ch15 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch15 -> Resolve ch8 -> Advance V2=infeasible,2,2,Resolve ch11 -> Resolve ch8 -> Advance V2
20260911,60,active_completed,10,3,7,False,"[8, 11]",[],"['Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch2', 'Resolve ch4', 'Resolve ch9']",[],False,1145.0,-130.0,11,,advance_feasible,485.9895323784405,Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch15 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=485.9895323784405; Resolve ch11 -> Resolve ch15 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=540.8330087449368; Resolve ch8 -> Resolve ch15 -> Advance V2=infeasible; Resolve ch15 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch15 -> Resolve ch8 -> Advance V2=infeasible,2,2,Resolve ch11 -> Resolve ch8 -> Advance V2
20260911,62,select_active,10,3,7,False,"[8, 11]",[],"['Resolve ch10', 'Resolve ch12', 'Resolve ch6', 'Resolve ch13', 'Resolve ch2', 'Resolve ch4', 'Resolve ch9']",[],False,1145.0,-130.0,11,,advance_feasible,485.9895323784405,Resolve ch11 -> Advance V2=infeasible; Resolve ch8 -> Advance V2=infeasible; Resolve ch15 -> Advance V2=infeasible; Resolve ch11 -> Resolve ch8 -> Advance V2=485.9895323784405; Resolve ch11 -> Resolve ch15 -> Advance V2=infeasible; Resolve ch8 -> Resolve ch11 -> Advance V2=540.8330087449368; Resolve ch8 -> Resolve ch15 -> Advance V2=infeasible; Resolve ch15 -> Resolve ch11 -> Advance V2=infeasible; Resolve ch15 -> Resolve ch8 -> Advance V2=infeasible,2,2,Resolve ch11 -> Resolve ch8 -> Advance V2
